mapineq,policy,regional,agencyID,id,Name.en,Name.fr,Name.de,version,uri,urn,isExternalReference,isFinal,validFrom,validTo,dsdRef
1,1,,ESTAT,EDUC_THEXP,Investments in education and training,Investissements dans l'éducation et la formation,Investitionen in allgemeine und berufliche Bildung,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:EDUC_THEXP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,EGI_TR1,Export to import ratio,Ratio des exportations sur importations,Verhältnis von Exporten zu Importen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:EGI_TR1(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_GOV_10DD,Government deficit/surplus and debt,Déficit/surplus et dette des administrations publiques,Defizit/Überschuss und Schuldenstand des Staates,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_GOV_10DD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_HLTH_EXP,Health care expenditure as a share of GDP,"Dépense de santé, proportion du PIB",Gesundheitsausgaben als Anteil am BIP,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_HLTH_EXP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_ILC_LI01,"Relative poverty threshold after social transfers, income per month","Seuil de pauvreté relative après transferts sociaux, revenu mensuel","Relative Armutsschwelle nach Sozialtransfers, Monatseinkommen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_ILC_LI01(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_ILC_LI09,"Proportion of persons at risk of relative poverty, before social transfers by sex","Proportion de personnes exposées au risque de pauvreté relative, avant transferts sociaux, par sexe",Anteil der von relativer Armut bedrohten Personen vor Sozialtransfers und nach Geschlecht,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_ILC_LI09(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_IRT_LD,Loan and deposit one year interest rate,"Prêts et dépôts, taux d’intérêt d’un an",Kredit- und Einlagenzinssätze für ein Jahr,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_IRT_LD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_IRT_LT_GBY10,Government bond yields - 10 years' maturity,Obligations d'Etat - Echéance à 10 ans,Renditen auf Staatsanleihen - 10 Jahre Laufzeit,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_IRT_LT_GBY10(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_IRT_ST,Money market interest rates,Taux d'intérêt du marché monétaire,Geldmarktzinssätze,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_IRT_ST(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_MON_RES,Money supply and official reserves,Agrégat monétaire et réserves officielles,Geldmenge und amtliche Reserven,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_MON_RES(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_NAMA_10_GDP_EA,Gross domestic product at market prices by expenditure,"Produit intérieur brut aux prix du marché, par dépense",Bruttoinlandsprodukt zu Marktpreisen nach Ausgaben,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_NAMA_10_GDP_EA(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_RD_E_GERDFUND,Gross domestic expenditure on R&D (GERD),Dépenses intérieures brutes de recherche et développement,Bruttoinlandsaufwendungen für FuE (BAFE),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_RD_E_GERDFUND(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPE_SPR_EXP,Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP,"Dépenses de protection sociale, hors coûts administratifs (y compris dépense de santé), proportion du PIB",Sozialschutzausgaben ohne Verwaltungskosten (einschließlich Gesundheitsausgaben) als Anteil am BIP,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPE_SPR_EXP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPS_EDUC_COMPYR,Number of compulsory schooling years,Nombre d’années d'enseignement obligatoire,Pflichtschuljahre (in Jahren),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPS_EDUC_COMPYR(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPS_EDUC_FIGDP,Public expenditure on education,Dépenses publiques au titre de l'éducation,Öffentliche Ausgaben für Bildung,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPS_EDUC_FIGDP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENPS_GOV_10DD,Government deficit/surplus and debt,Déficit/surplus et dette des administrations publiques,Defizit/Überschuss und Schuldenstand des Staates,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENPS_GOV_10DD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_AEINT_R2,Air emissions intensities by NACE Rev. 2 activity,Intensité des emissions dans l'air par activité de la NACE Rév. 2,Luftemissionsintensitäten nach NACE Rev. 2 Tätigkeiten,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_AEINT_R2(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_CEPSGC,Intermediate consumption of environmental protection services by institutional sector and NACE Rev. 2 activity,Consommation intermédiaire de services de protection de l'environnement par secteur institutionnel et activité de la NACE Rév. 2,Vorleistungsverbrauch von Umweltschutzdienstleistungen nach institutionellen Sektoren und NACE Rev. 2 Tätigkeit,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_CEPSGC(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_CEPSGH,Final consumption expenditure on environmental protection services by institutional sector,Dépense de consommation finale de services de protection de l'environnement par secteur institutionnel,Ausgaben für den Konsum von Umweltschutzdienstleistungen nach institutionellen Sektoren,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_CEPSGH(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EPIGG,Environmental protection investments of general government by environmental protection activity,Investissements pour la protection de l'environnement des administrations publiques par activité de protection de l'environnement,"Staatliche Investitionen für den Umweltschutz, nach Umweltschutzaktivität",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EPIGG(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EPNEIS,National expenditure on environmental protection by institutional sector,Dépense nationale de protection de l'environnement par secteur institutionnel,Nationale Umweltschutzausgaben nach institutionellen Sektoren,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EPNEIS(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EPTRF,Environmental protection transfers by environmental protection activity and institutional sector,Transferts pour la protection de l'environnement par activité de protection de l'environnement et secteur institutionnel,Umweltschutztransfers nach Umweltschutzaktivit und institutionellen Sektoren,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EPTRF(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EXP1R2,Environmental protection expenditure - million euro and million units of national currency,Dépenses de protection de l'environnement - millions d'euros et millions d'unités de monnaie nationale,Umweltschutzausgaben - Millionen Euro und Millionen Einheiten Landeswährung,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EXP1R2(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EXP2,Environmental protection expenditure - euro per inhabitant and % of GDP,Dépenses de protection de l'environnement - euro par habitant et % du PIB,Umweltschutzausgaben - Euro pro Einwohner und % des BIP,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EXP2(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_EXP3,"Environmental protection expenditure - % of pollution prevention, % of gross fixed capital formation, % of output","Dépenses de protection de l'environnement - % de la prévention de la pollution, % de la formation brute de capital fixe, % de la production","Umweltschutzausgaben - % Vermeidung der Umweltverschmutzung, % der Bruttoanlageinvestitionen, % des Produktionswerts",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_EXP3(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_PEPSGG,Production of environmental protection services of general government by economic characteristics,Production de services de protection de l'environnement par les administrations publiques par caractéristiques économiques,Produktion von Umweltschutzdienstleistungen im Sektor Staat nach wirtschaftlichen Merkmalen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_PEPSGG(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_TAX,Environmental tax revenues,Recettes fiscales environnementales,Einnahmen aus Umweltsteuern,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_TAX(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_TAXENER,Energy taxes by paying sector,Impôts sur l'énergie par secteur payant,Energiesteuern nach zahlendem Wirtschaftszweig,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_TAXENER(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_AC_TAXIND2,Environmental taxes by economic activity (NACE Rev. 2),Taxes environnementales par activité économique (NACE Rév. 2),Umweltsteuern nach Wirtschaftstätigkeit (NACE Rev. 2),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_AC_TAXIND2(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_ESST_GG,"Environmental subsidies and similar transfers from general government, by environmental activity, sector of recipient and ESA category of transfer","Subventions environnementales et transferts similaires versés par les administrations publiques, par les activités de l'environnement, le secteur de récipient et la catégorie de transfert ESA","Staatliche Umweltsubventionen und ähnliche Transferleistungen, nach Umweltaktivitäten, Empfängersektor und ESA Transferkategorie",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_ESST_GG(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_ESST_GGCP,"Environmental subsidies and similar transfers from general government to corporations, by environmental activity, ESA category of transfer and NACE Rev. 2 activity of recipient","Subventions environnementales et transferts similaires versés par les administrations publiques aux entreprises, par les activités de l'environnement, la catégorie de transfert ESA et l'activité de la NACE Rev. 2 du récipient","Staatliche Umweltsubventionen und ähnliche Transferleistungen an Unternehmen, nach Aktivitäten im Umweltschutz, ESA Transferkategorie und NACE Rev. 2 Tatigkeit des Empfängers",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_ESST_GGCP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_ESST_RW,"Environmental subsidies and similar transfers from the Rest of the World to the domestic economy, by environmental activity and ESA category of transfer","Subventions environnementales et transferts similaires versés par le reste du monde à l'économie domestique, par les activités de l'environnement et la catégorie de transfer ESA","Überstaatliche Umweltsubventionen und ähnliche Transferleistungen an die nationale Wirtschaft, nach Aktivitäten im Umweltschutz und ESA Transferkategorie",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_ESST_RW(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,ENV_WASPACR,"Recycling rates of packaging waste for monitoring compliance with policy targets, by type of packaging","Taux de recyclage des déchets d’emballage pour le suivi de la conformité avec les objectifs politiques, par type d'emballage","Recyclingquoten für Verpackungsabfälle zur Überwachung der Einhaltung von politischen Zielen, aufgeschlüsselt nach Verpackungsart",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:ENV_WASPACR(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GBA_FUNDMOD,GBARD by type of funding,CBPRD par mode de financement,Staatliche Budgetzuweisungen für FuE nach Finanzierungsmodus,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GBA_FUNDMOD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GBA_NABSFIN07,GBARD by socioeconomic objectives (NABS 2007),CBPRD par objectif socio-économique de la NABS 2007,Staatliche Budgetzuweisungen für FuE nach sozioökonomischen Zielen (NABS 2007),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GBA_NABSFIN07(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GBA_NABSFIN92,GBARD by socioeconomic objectives (NABS 1992) (1980-2007),CBPRD totaux par objectif socio-économique de la NABS 1992 (1980-2007),Staatliche Budgetzuweisungen für FuE nach sozioökonomischen Zielen (NABS 1992) (1980-2007),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GBA_NABSFIN92(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GBA_NABSTE,Share of GBARD in total general government expenditure,CBPRD en % des dépenses totales de l'administration publique,Staatliche Budgetzuweisungen für FuE in Prozent der gesamten Staatsausgaben,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GBA_NABSTE(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GBA_TNCOOR,National public funding to transnationally coordinated R&D,Financement public national de R&D coordonnée à l'échelon transnational,Nationale öffentliche Finanzmittel für länderübergreifend koordinierte FuE,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GBA_TNCOOR(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_EXP,General government expenditure by function (COFOG),Dépenses des administrations publiques par fonction (CFAP),Ausgaben des Staates nach Aufgabenbereichen (COFOG),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_EXP(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_EXP$DV_578,General government expenditure by function (COFOG),Dépenses des administrations publiques par fonction (CFAP),Ausgaben des Staates nach Aufgabenbereichen (COFOG),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_EXP$DV_578(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_EXP$DV_582,General government expenditure by function (COFOG),Dépenses des administrations publiques par fonction (CFAP),Ausgaben des Staates nach Aufgabenbereichen (COFOG),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_EXP$DV_582(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_EXP$DV_584,General government expenditure by function (COFOG),Dépenses des administrations publiques par fonction (CFAP),Ausgaben des Staates nach Aufgabenbereichen (COFOG),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_EXP$DV_584(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_GGFA,Annual financial accounts for general government,Comptes financiers annuels des administrations publiques,Jährliche Finanzierungskonten des Staates,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_GGFA(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_MAIN,"Government revenue, expenditure and main aggregates","Principaux agrégats des administrations publiques, y compris recettes et dépenses","Staatseinnahmen, - ausgaben und Hauptaggregate",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_MAIN(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10A_TAXAG,Main national accounts tax aggregates,Principaux agrégats fiscaux de la comptabilité nationale,Hauptsteueraggregate der volkswirtschaftlichen Gesamtrechnungen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10A_TAXAG(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_ACD,Apparent cost of general government gross debt,Coût apparent de la dette brute des administrations publiques,Ersichtliche Kosten des Bruttoschuldenstands des Staatssektors,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_ACD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_CGD,Central government debt,Dette de l'administration centrale,Schuldenstand des Bundes (Zentralstaates),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_CGD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_DCUR,Debt by currency of issue,Dette par monnaie d'émission,Schuldenstand nach Emissionswährung,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_DCUR(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_EDPT1,"Government deficit/surplus, debt and associated data","Déficit/surplus, dette et données associées du gouvernement","Defizit/Überschuss, Schuldenstand des Staates und damit zusammenhängende Daten",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_EDPT1(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_EDPT2,Transition from the working balance to the deficit/surplus,Transition du solde budgétaire (ou de comptabilité publique) au déficit/surplus,Übergang vom 'Arbeitssaldo' zum Defizit/Überschuss,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_EDPT2(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_EDPT3,Transition from the deficit/surplus to the change in debt,Transition du déficit/surplus à la variation de la dette,Übergang vom Defizit/Überschuss zur Veränderung des Schuldenstands,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_EDPT3(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_GGD,General government debt,Dette de l'administration publique,Schuldenstand des Staates,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_GGD(1.0),TRUE,FALSE,NA,NA,NA
1,1,,ESTAT,GOV_10DD_GUAR,Guarantees (contingent liabilities),Garanties (obligations potentielles),Garantien (potentielle Verpflichtungen),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:GOV_10DD_GUAR(1.0),TRUE,FALSE,NA,NA,NA
